.,Retail,Atta (Wheat),Adilabad,2009,c=[%221%22]&s=1&t=1&y=2009
.,Retail,Atta (Wheat),Adilabad,2010,c=[%221%22]&s=1&t=1&y=2010
.,Retail,Atta (Wheat),Adilabad,2011,c=[%221%22]&s=1&t=1&y=2011
.,Retail,Atta (Wheat),Adilabad,2012,c=[%221%22]&s=1&t=1&y=2012
.,Retail,Atta (Wheat),Adilabad,2013,c=[%221%22]&s=1&t=1&y=2013
.,Retail,Atta (Wheat),Adilabad,2014,c=[%221%22]&s=1&t=1&y=2014
.,Retail,Atta (Wheat),Adilabad,2015,c=[%221%22]&s=1&t=1&y=2015
.,Retail,Atta (Wheat),Adilabad,2016,c=[%221%22]&s=1&t=1&y=2016
.,Retail,Atta (Wheat),Adilabad,2017,c=[%221%22]&s=1&t=1&y=2017
.,Retail,Atta (Wheat),Adilabad,2018,c=[%221%22]&s=1&t=1&y=2018
.,Retail,Atta (Wheat),Adilabad,2019,c=[%221%22]&s=1&t=1&y=2019
.,Retail,Atta (Wheat),Adilabad,2020,c=[%221%22]&s=1&t=1&y=2020
.,Retail,Atta (Wheat),Adilabad,2021,c=[%221%22]&s=1&t=1&y=2021
.,Retail,Atta (Wheat),Adilabad,2022,c=[%221%22]&s=1&t=1&y=2022
.,Retail,Atta (Wheat),Adilabad,2023,c=[%221%22]&s=1&t=1&y=2023
.,Retail,Atta (Wheat),Adilabad,2024,c=[%221%22]&s=1&t=1&y=2024
.,Retail,Atta (Wheat),Agar Malwa,2009,c=[%221%22]&s=351&t=1&y=2009
.,Retail,Atta (Wheat),Agar Malwa,2010,c=[%221%22]&s=351&t=1&y=2010
.,Retail,Atta (Wheat),Agar Malwa,2011,c=[%221%22]&s=351&t=1&y=2011
.,Retail,Atta (Wheat),Agar Malwa,2012,c=[%221%22]&s=351&t=1&y=2012
.,Retail,Atta (Wheat),Agar Malwa,2013,c=[%221%22]&s=351&t=1&y=2013
.,Retail,Atta (Wheat),Agar Malwa,2014,c=[%221%22]&s=351&t=1&y=2014
.,Retail,Atta (Wheat),Agar Malwa,2015,c=[%221%22]&s=351&t=1&y=2015
.,Retail,Atta (Wheat),Agar Malwa,2016,c=[%221%22]&s=351&t=1&y=2016
.,Retail,Atta (Wheat),Agar Malwa,2017,c=[%221%22]&s=351&t=1&y=2017
.,Retail,Atta (Wheat),Agar Malwa,2018,c=[%221%22]&s=351&t=1&y=2018
.,Retail,Atta (Wheat),Agar Malwa,2019,c=[%221%22]&s=351&t=1&y=2019
.,Retail,Atta (Wheat),Agar Malwa,2020,c=[%221%22]&s=351&t=1&y=2020
